DATE,ACCOUNT,Transcript
2020-05-06 16:21:31,christainbaIe,b'Like go watch #UploadTV .... what are you waiting for https://t.co/NGqfw30Zgz'
2020-05-06 16:20:54,frontage2,b'Check out #Upload on Amazon Prime and my review for episode 5 into the bargain https://t.co/xQq4oM6yns #UploadTV #UploadOnPrime @RosarellaFletch @TomButler #review @RobbieAmell @andyallo'
2020-05-06 16:19:53,enigmapradyum,b'@kevinbigley sir you did a great job on #UploadTV loved your acting\nThankyou for the laughs\n#newfan'
2020-05-06 16:14:02,MrMovie1201AM,"b'This past weekend my wife &amp; I quickly binge watched #Upload #UploadTV #UploadOnPrime on #AmazonPrimeVideo. It was a funny, heartfelt &amp; quick 10 episode run that also made you think about the questions this high concept comedy asked of you. Great chemistry between the two leads. https://t.co/FPFpsG7ZL2'"
2020-05-06 16:06:56,realsubtle,"b'Welcome to the new world of Greg Daniels. See why the cast loved working with the man that brought you Parks and Recreation, The Office, and #UploadTV.'"
2020-05-06 16:01:17,UploadOnPrime,b'Welcome to TV heaven. #UploadTV is officially certified fresh. https://t.co/No3lx6UzJW'
2020-05-06 15:51:11,fusefx,"b""Could the reviews can get sweeter for Upload's VFX Team... Read all the fantastic coverage and binge the show on @PrimeVideo @UploadOnPrime.   \n@allegra_edwards @andyallo @RobbieAmell \n#FuseFX #VFX #VisualEffects #UploadTV https://t.co/9HbivT0tMS"""
2020-05-06 15:50:27,dolittlemovie_,"b'#UploadTV\xc2\xa0 \nI have already watched this twice.\nI really cannot wait season 2!!!!\nThank you #UploadTV\xc2\xa0,my hope of life!!!!!!!!!!!!!!!! https://t.co/fUnxw59P1H'"
2020-05-06 15:40:07,easysimplesmart,"b""#UploadTV is an awesome TV show. \nCan't wait for Season 2.\n@andyallo @allegra_edwards @RobbieAmell great performances. \nwatch it on @PrimeVideo \nWorth it! https://t.co/k4zlof130c"""
2020-05-06 15:30:27,RishitShukla,b'@RobbieAmell @andyallo @PrimeVideoIN @PrimeVideo \nAny of you guys having a hand in this?\n#UploadTV https://t.co/KIRDdWu7gY'
2020-05-06 15:25:06,ewelery,"b""@AbenaMantebea So we're looking forward to season 2 of #UploadTV \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3"""
2020-05-06 15:12:02,occono,b'#UploadTV was very good indeed. Highly recommend it'
2020-05-06 15:05:42,LevityTV,b'#UploadTV we need a season 2 @PrimeVideo. Please get on it. Thank you. cc: @RobbieAmell @andyallo @kevinbigley @allegra_edwards @JeffBezos https://t.co/ykqm9yoCt4'
2020-05-06 15:01:34,KiidSyn,b'Woke up this morning to watch #UploadTV but realized i finished the whole season. Can\xe2\x80\x99t wait for season 2'
2020-05-06 14:54:50,enigmapradyum,b'@PrimeVideoIN this series became my #fastestbinge ever @UploadOnPrime  thankyou so much for providing it #AmazonPrimeVideo #UploadTV \nGood show\nEagerly waiting for season 2 https://t.co/Pk3DTEuZau'
2020-05-06 14:45:00,GeeksOfColor,b'Looking for something to watch? \n\nAmazon Prime\xe2\x80\x99s #UploadTV is perfect for Quarantine binge-watching! https://t.co/iMdKrI4gR2'
2020-05-06 14:39:54,SteveLN6,b'#UploadTV might be the best new show I\xe2\x80\x99ve seen in years.'
2020-05-06 14:33:02,recopod,"b'On this week\'s #podcast I shared a story of one month when getting laid off wasn\'t the worst thing to happen and now it now helps me cope with the pandemic. Plus,  latest obsessions, including #UploadTV and ""Staying in with Emily and Kumail.""   https://t.co/PeiS0mU6pJ https://t.co/e2LKCRfzGO'"
2020-05-06 14:20:29,BufferOnYT,"b'Reworked my video on Amazon\xe2\x80\x99s @UploadOnPrime to be more in line with the new aesthetic I\xe2\x80\x99m working with, hopefully it\xe2\x80\x99s tidier and more people watch it!  Full review coming in a couple of days!  #UploadTV  Here\xe2\x80\x99s the link: https://t.co/XOQo7tNonm'"
2020-05-06 14:09:38,davedisrupts,"b'Started watching #UploadTV on Amazon. Interesting concept, episode 1 was ok but at the end of episode 2 the narrative changed. It kept getting better and better from there. It\xe2\x80\x99s light and pretty funny. \xe2\xad\x90\xef\xb8\x8f \xe2\xad\x90\xef\xb8\x8f \xe2\xad\x90\xef\xb8\x8f \xe2\xad\x90\xef\xb8\x8f \xe2\xad\x90\xef\xb8\x8f https://t.co/fwUfYZTr49'"
2020-05-06 14:08:32,justin_kratzer,b'@jennahp Finished that this week.  Was really good. Along with #UploadTV'
2020-05-06 14:03:34,handbagbaby,b'#UploadTV took a turn I wasn\xe2\x80\x99t expecting. I\xe2\x80\x99m enjoying it. NO SPOILERS only watched 3 eps so far.'
2020-05-06 13:50:00,GabbytheEsq,b'The cast and crew of #UploadTV all deserve a 5.8 employee rating. Binge it now because we deserve more seasons of #Natora (Natangel?) and just overall quality comedy https://t.co/MdsbKeGVO0'
2020-05-06 13:30:43,ButWhyThoPC,"b'Contributor @GabbytheEsq reviews @UploadOnPrime from @AmazonStudios, starring @RobbieAmell and @andyallo. Find out why she gives it \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f #UploadTV #AmazonOriginals https://t.co/oZRFIa0nKd'"
2020-05-06 13:27:48,enigmapradyum,b'@PrimeVideoIN just finished watching @UploadOnPrime #greatshow \nEnjoyed it \nEagerly waiting for season 2 #UploadTV #PrimeVideo https://t.co/JFVjUJ4ZGO'
2020-05-06 13:24:37,MomCaveTV,"b""This homeschooling thing is no joke... Every day, I'm zonked by the kids' bedtime and just want to do something fun for myself. I've been binging this new series, @UploadonPrime by @PrimeVideo. #ad #UploadTV https://t.co/74BQkzNcwB https://t.co/hHX1g0P3uv"""
2020-05-06 13:17:07,hariharancr1997,"b""Currently watching #UploadTV @PrimeVideoIN \nFinished episode 01 and it seems very interesting.. I'm hooked ! https://t.co/dmPp9zXcAm"""
2020-05-06 13:06:05,MidSeasonPod,"b""New episode is live! On this week's show:\n\n- #DareMe's cancellation\n- #ParksandRec reunion (aka @rjdank Hot Take Time)\n- #PennyDreadfulCityofAngels \n- #UploadTV \n- a deep dive into the phenomenal #NormalPeople. Enjoy! https://t.co/C9tM1ihMLQ"""
2020-05-06 12:58:24,kaleenka,b'@WajahatAli Upload. Watch #UploadOnPrime  it was so good and you will breeze right through it. #UploadTV'
2020-05-06 12:52:38,jeskillings,"b""Does #UploadTV mock the tech that rules our lives? You bet it does. And @RogerWCheng is here to break it all down for you -- what's played for laughs and what's downright nightmarish.\n\nhttps://t.co/WWb27qhwsi via @CNET"""
2020-05-06 12:46:02,digitalspy,b'Upload creator shares plans for season 2 of Amazon series:\n\nhttps://t.co/3vBqsELkMD\n\n#UploadTV https://t.co/G9eiHiZptw'
2020-05-06 12:42:11,Nhamo48248468,b'Now to wash off that ending up #UploadTV...some #rickAndMorty https://t.co/LOGKQqlAV7'
2020-05-06 11:34:06,mossopj,"b""@andreadivalenti @UploadOnPrime @PrimeVideo I finished it on Sunday. I'm definitely going to rewatch it!! #UploadTV"""
2020-05-06 11:04:08,nicolayuille,b'Finally finished #UploadTV\nAnd my only question is when is season 2 coming out?? @RobbieAmell @PrimeVideoAUNZ https://t.co/JhPHauyeMN'
2020-05-06 10:57:23,mitchables,"b'super pleasantly surprised by #UploadTV \xe2\x80\x93 a genuinely warm, reliably funny, easily binge-able show with some sharp writing and ideas, and a really likeable cast to boot. fingers crossed for season 2.'"
2020-05-06 10:11:25,lxnettigina,b'Luke\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\n#UploadTV https://t.co/IkrQBEhXzf'
2020-05-06 09:58:21,smoaksqueen,"b'I\xe2\x80\x99ve been watching #UploadTV all night and this show is actually funny and has an interesting plot, I saw someone describe it as the good place meets black mirror and that\xe2\x80\x99s kinda the perfect description for it. https://t.co/uzHlgK9Lfk'"
2020-05-06 09:57:16,StevenPaston,"b""Watch the whole season of #UploadTV on #AmazonPrimeVideo #bingewatch into 3am last night. If you liked #TheGoodPlace #BlackMirror #SanJunipero &amp; satire look at technology, can't wait for season 2 https://t.co/mAAQi2idh1"""
2020-05-06 09:52:11,Sarcastic__Sam,"b""'Like a G6' is classical music \xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#UploadTV"""
2020-05-06 09:49:34,lxnettigina,b'Why are there only 10 episodes ffs!?\xf0\x9f\x98\xa3\n#UploadTV'
2020-05-06 09:43:45,lxnettigina,b'Who has written the show #UploadTV ??\nThe satire is TOO GOOD omg\xf0\x9f\xa4\xaf'
2020-05-06 09:34:24,BindraRavjeet,b'Upload Series Review :- Unique! A roller coaster of different emotions! Amazing cast &amp; charecters! 4.5/5 #UploadTV #UploadOnPrime #Upload #PrimeVideo #AmazonPrime @RobbieAmell @amazon @amazonprimenow'
2020-05-06 08:45:45,SinsBeggar,"b'#UploadTV was an interesting premise, but was executed with banality.'"
2020-05-06 08:37:19,amezilla,"b'Kevin Bigley really is one of the funniest, most charming actors around. I love him so much. #UploadTV https://t.co/IVeoAXjJsS'"
2020-05-06 08:30:33,vaderzim,b'@UploadOnPrime If we don\xe2\x80\x99t get a season 2 I just might #UploadTV'
2020-05-06 08:13:20,tufayel,"b'Highly recommend #UploadTV on Amazon, funny and smart, similar to The Good Place. First two eps are great.'"
2020-05-06 07:50:01,Spanishmag,b'@HamillHimself Is this dog therapy from @UploadOnPrime ? #UploadTV @RobbieAmell \xf0\x9f\x98\x85'
2020-05-06 07:34:09,Brimcrob,b'finished watching #UploadTV  on @primevideouk . Very funny satire on commercialism of the digital world. It even touches on digital poverty. Well worth a watch. @UploadOnPrime'
2020-05-06 07:21:55,AriellaJarhreeL,b'So @PrimeVideo season 2 of #UploadTV or #UploadOnPrime is coming soon right? Cause the way you ended it has me wanting to #Upload just to talk to Nathan.'
2020-05-06 07:06:21,WhiteStarPrime,b'@GeekToyLove @HighCastleTV Not yet but its on the list. Another #AmazonPrimeVideo  recommendation #UploadTV'
2020-05-06 07:01:55,christainbaIe,b'@FabuNOLA I already rewatched the series (ikr crazy) but the more you watch it.... you can see where Ingrid is coming from. @allegra_edwards does such a brilliant job with the character. She knows how to own a screen. \n\nHonestly love all the characters and hoping for a season 2 #UploadTV'
2020-05-06 06:54:38,renthebarbarian,"b'Like, no lie, I did not expect this show to be this addicting. I\xe2\x80\x99m on ep 7 and there\xe2\x80\x99s only 10 episodes in the whole first season! \xf0\x9f\x98\xad #UploadTV'"
2020-05-06 06:52:46,renthebarbarian,"b'Here I am, all alone in the #UploadTV fandom. *sigh*'"
2020-05-06 06:43:57,KimberlyNissen,b'Me watching the credits role on the @UploadOnPrime finale \n\nNeed season 2 ASAP! \n#UploadTV https://t.co/nLSgjpyaLE'
2020-05-06 06:17:38,abbykadabby17,b'Just accidentally binged watched the entire season of  #UploadTV in like 5 hours. It was so good! I need season 2 ASAP! #UploadOnPrime @PrimeVideo'
2020-05-06 06:06:15,VoyageToBisa,"b'It took me so long to figure out what show i remembered  Luke from, but he also played Brian in Sirens! Kevin Bigley  is a great comedic actor! #UploadTV https://t.co/2E5RoEUych'"
2020-05-06 05:52:59,RoboCop_95,"b'Just stayed up all night and binged #UploadOnPrime  , if anyone\xe2\x80\x99s needs something to get through quarantine, watch this #UploadTV'"
2020-05-06 05:49:00,jai_lorenzo,b'Finished #UploadTV and man what a ride! Such a great first season!!'
2020-05-06 05:47:45,Pato17Montoya,b'Needed a new show to watch and started watching @UploadOnPrime and did not disappoint! \xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f\xe2\xad\x90\xef\xb8\x8f stars for @RobbieAmell #UploadTV #UploadOnPrime https://t.co/MAezWRPBmy'
2020-05-06 05:41:45,therecyclr,b'\xf0\x9f\x97\xa3Tech Support !!! \xf0\x9f\x97\xa3Assistance!!! #UploadTV'
2020-05-06 05:28:15,FScraper,b'@UploadOnPrime @PrimeVideo Ok I watched all ten and I love it.  Am ready for season 2 what a cliffhanger.  Great show!!!! #UploadTV'
2020-05-06 05:24:40,S_am_eaa,b'ooooh i hate/love Ingrid! #UploadTV https://t.co/rL3UFgWmha'
2020-05-06 05:19:17,S_am_eaa,b'#uploadtv season 2 right now @PrimeVideo \xe2\x80\xbc https://t.co/0l1LoT8OGn'
2020-05-06 05:14:55,S_am_eaa,"b""can't wait for season 2 #UploadTV \n\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90"""
2020-05-06 05:10:21,Alicey05524526,b'I\xe2\x80\x99m literally shouting at my phone #UploadTV https://t.co/KkTTlDHCKi'
2020-05-06 05:05:37,Juulianarenzo,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82sshe is so funny #UploadTV https://t.co/QUnhI8qzXE'
2020-05-06 05:00:31,camilleemen,b'On episode two and it\xe2\x80\x99s cute so far \xf0\x9f\xa5\xba\xf0\x9f\x98\xad #UploadTV'
2020-05-06 04:48:06,VoyageToBisa,b'Im actually really happy #UploadTV gave Robbie Amell the role he deserves.'
2020-05-06 04:40:04,amandareid,b'Justice for Cousin Fran goddammit! #UploadTV'
2020-05-06 04:37:04,AceBalangitann,b'Hashtags of the day:\n#NoToABSCBNShutDown #noexams #KillingEve #ALDUBKalyesSeryeAngSimula #survivor2020 #Westworld #WelcomEXOPrincess #tecramuigai #UploadTV #uhurumustgo #LabourDay #TeacherAppreciationDay #LadyGaga #Chromatica #firstdateshotel #fancamsareoverparty'
2020-05-06 04:29:26,VarietyHub,b'Amazon Series : Upload Review\n\nAmazon\xe2\x80\x99s science-fiction series Upload merges Black Mirror with The Good Place @RobbieAmell #Amazon #UploadTV  \nhttps://t.co/VjCvXBAlvK'
2020-05-06 04:22:35,RealRobWolken,"b'#UploadTV just reminded me that 50 First Dates is 16 years old already.\n\nIn the word of someone, HOW?'"
2020-05-06 04:17:35,MissLizBowen,b'I like this house #UploadTV https://t.co/PES8MIIXOk'
2020-05-06 04:14:25,Juulianarenzo,b'omg I LOVE HER #UploadTV https://t.co/yPD5wQ0RR0'
2020-05-06 04:12:29,ANeilioEstevez,b'My wife and I just binged the first season of #UploadTV.\n\nFantastic job by @RobbieAmell and all those involved. \n\nCan\xe2\x80\x99t wait for season 2! https://t.co/gWXpPzQI2C'
2020-05-06 04:02:14,audrhi,b'I have consumed a lot of content recently. One of my favorite things so far is UPLOAD on Amazon. So witty and highly entertaining. #UploadTV @UploadOnPrime https://t.co/zfKaUtLKrM'
2020-05-06 03:58:30,baritoneblogger,"b'Looking for a way to laugh in this time?If you aren\xe2\x80\x99t watching @UploadOnPrime, you should! It\xe2\x80\x99s a great combination of Pushing Daisies, The Good Place, and a goofy procedural like Psych. Such a great bingewatch. Watch #UploadTV! We stan @RobbieAmell.'"
2020-05-06 03:52:00,ImGirling,"b'@PrimeVideo @UploadOnPrime @RobbieAmell @kevinbigley How could you leave a cliff hanger like that at the end of season one?! Anyway, Aleesha and Kevin had the best interactions. I kind of ship them. #UploadTV'"
2020-05-06 03:49:52,BiatchPack,"b'Anyone seen #UploadTV? Is it like Vanilla Sky + The Good Place + that one episode of Black Mirror called ""San Junipero""? - but funny?'"
2020-05-06 03:47:52,crimsonrambler,b'Just watched #UploadTV and OMG. https://t.co/LeLhYDOTic'
2020-05-06 03:47:35,flawslou,"b'I just binged #UploadTV\xc2\xa0 on Prime and I LOVED IT !!! I need more episodes RIGHT NOW!! Omg Nathan loves Nora and she doesnt knoooooow and Ingrid is an Upload ??? WITHOUT MONEY? What a cliffhanger !!!! @RobbieAmell please tell me there will be a new season, is season 2 confirmed ??'"
2020-05-06 03:45:48,Travster817,b'I finished #UploadTV'
2020-05-06 03:40:17,YouWentToJared,b'The Yakity Sax bit killed me #UploadTV'
2020-05-06 03:40:11,SnipeHockey,"b""I came across one of the most pretentious TV show reviews in a while. They reviewed the show #UploadTV and managed to make it so that the show has to live up to the fabled Black Mirror. It's silly review. Upload is a fun, simple show that has a bit heart. https://t.co/3irw7ck60D"""
2020-05-06 03:37:50,rjdank,"b""New @MidSeasonPod is live! Sean and I talk #DareMe, #ParksandRec, #PennyDreadfulCityofAngels, #UploadTV, and Hulu's amazing #NormalPeople adaptation. Enjoy! https://t.co/opsW7nOPUc"""
2020-05-06 03:35:58,zhadow9000,"b""#UploadTV is fantastic! Go watch it if you haven't. Fingers crossed for a second season"""
2020-05-06 03:32:57,ImRoyal_T,"b""If you're a fan of The Good Place, you'll enjoy #UploadTV on Prime. https://t.co/y1yJEiHu2b"""
2020-05-06 03:30:55,tamilnadu09,b'2 eps into #UploadTV definitely interesting...'
2020-05-06 03:23:33,MarcPalumboFC,"b""Just finished watching #UploadTV\n\nI actually liked it a lot. Had lots expectations just to find out it's a pretty good show."""
2020-05-06 03:20:44,zarfiswithyou,b'Awesome show! Thanks @clearlyblonde! #UploadTV #UploadOnPrime https://t.co/vPVEexeX8K'
2020-05-06 03:15:06,MattyStevo93,"b'Upload is a really cool, funny and nice show #UploadTV'"
2020-05-06 03:14:23,jmac25,b'Motherfucking #UploadTV'
2020-05-06 03:08:05,Juulianarenzo,b'Me meoooooo #UploadTV https://t.co/XREwcJHJ1h'
2020-05-06 03:02:03,ReclaimerCube,b'How is no one talking about the transparent glass keyboards on  #UploadTV????'
2020-05-06 02:58:50,PopARTmerch,"b""#OwenDaniels isn't on Twitter is he? #UploadTV"""
2020-05-06 02:57:59,jenOOgle,"b'Condom size dispute, aisle 4 #UploadTV #Upload https://t.co/Y2jfQQnQRH'"
2020-05-06 02:53:05,atiknab,"b""I dislike Ingrid, and I don't trust her. #UploadTV"""
2020-05-06 02:51:30,PopARTmerch,b'Was any of this scene improvised? @kevinbigley @RobbieAmell @UploadOnPrime That last tap! \xf0\x9f\xa4\xa3 #UploadTV https://t.co/Qvl5Ntn1Tw'
2020-05-06 02:42:23,yogajaxxx,b'Very close to rewatching @UploadOnPrime #UploadTV'
2020-05-06 02:40:47,yoitsrubylol,"b'Okay okay, so I like #UploadTV but some of the things in this show are so... cringey.'"
2020-05-06 02:33:00,bhadpodcast,"b""ok #UploadTV I see you. And I'm not mad about Robbie Amell either!"""
2020-05-06 02:31:59,clearlyblonde,"b'The show Upload @UploadOnPrime is so funny. #UploadTV Instead of ""Jet Lag"" you get ""Death Lag"" when you upload to The After Life. \xf0\x9f\x98\x86\xf0\x9f\x98\x82\xf0\x9f\x98\x86\xf0\x9f\x98\x82 Loved this show: and watched it all in one sitting!  https://t.co/RxBIJVoNqu @primevideo #ad You\'re welcome.'"
2020-05-06 02:29:05,S_am_eaa,"b""ready to binge amazon prime's #UploadTV ... again.... for the third time. \xf0\x9f\x8d\xbf\xf0\x9f\x8d\x97\xf0\x9f\x8d\xb7 #dontjudgeme"""
2020-05-06 02:25:55,mackin_33,b'Tech support!! i need more episodes....TECH SUPPORT!?#UploadTV'
2020-05-06 02:25:14,atiknab,b'#UploadTV is really good.'
2020-05-06 02:19:45,ImRoyal_T,"b""Was Amazon aware that they were going to release #UploadTV while we're in quarantine when they filmed it? Everyone has on face masks.\xf0\x9f\xa4\x94"""
2020-05-06 02:19:02,Vix_Winchester,b'#UploadTV 1x04 - Sex Suit'
2020-05-06 02:16:22,rlplate,b'@andyallo Wow. SHM #UploadTV fan'
2020-05-06 02:04:35,Alex_Chatman,b'Finished Episodes 3&amp;4 of #UploadTV Really getting interesting. Will watch more  later.'
2020-05-06 02:03:30,andyallo,b'Nora got an upgrade. #newuniform @FAULTMagazine #UploadTV https://t.co/Vmya93z5rz'
2020-05-06 01:50:14,Vix_Winchester,b'#UploadTV 1x03 - The Funeral'
2020-05-06 01:50:09,tedpaulson,"b'OK, THAT. IS. FREAKY.\n\n#technews #BlackMirror #UploadTV https://t.co/kqNtZ8k0tX'"
2020-05-06 01:35:00,TabithaZaffuto,b'Wow! Need season 2 stat #UploadTV https://t.co/KHfvns4ywR'
2020-05-06 01:18:41,Bacon_Space,b'I Hope We Get a another Season of @UploadOnPrime  #UploadTV Such a Goood SHOW'
2020-05-06 01:13:06,LeighaLady,b'Binged #UploadTV and now rethinking my afterlife plans \xf0\x9f\xa4\xaa'
2020-05-06 01:06:38,Vix_Winchester,b'#UploadTV 1x02 - Five Stars'
